unified_customer_id,full_name,city,age,hdbank_customer_id,vietjetair_customer_id,hdbank_segment,preferred_channel,monthly_income,credit_score,has_credit_card,membership_tier,home_airport,email_opt_in,shared_customer,has_hdbank,has_vietjetair
U-0001,Tran An,Nha Trang,39,CUS-0001,CUS-0001,SALARY_PLUS,APP,112000000.00,646,true,SKYJOY_PLATINUM,SGN,true,true,true,true
U-0002,Nguyen An,Ho Chi Minh City,35,CUS-0002,CUS-0002,SALARY_PLUS,APP,21000000.00,763,true,SKYJOY_GOLD,CXR,true,true,true,true
U-0003,Vu Vy,Da Nang,22,CUS-0003,CUS-0003,SALARY_PLUS,SMS,61000000.00,691,true,SKYJOY_PLATINUM,DAD,true,true,true,true
U-0004,Phan Chi,Da Nang,44,CUS-0004,CUS-0004,EMERGING_AFFLUENT,SMS,111000000.00,737,true,SKYJOY_PLATINUM,PQC,true,true,true,true
U-0005,Hoang Minh,Hai Phong,34,CUS-0005,CUS-0005,AFFLUENT,APP,47000000.00,817,true,SKYJOY_RED,HAN,false,true,true,true
U-0006,Phan Khanh,Can Tho,62,CUS-0006,CUS-0006,EMERGING_AFFLUENT,APP,63000000.00,673,true,SKYJOY_GOLD,SGN,true,true,true,true
U-0007,Le Tuan,Nha Trang,37,CUS-0007,CUS-0007,SALARY_PLUS,APP,52000000.00,783,true,SKYJOY_RED,DAD,false,true,true,true
U-0008,Nguyen Hoa,Ho Chi Minh City,42,CUS-0008,CUS-0008,YOUNG_FAMILY,APP,45000000.00,765,false,SKYJOY_RED,PQC,true,true,true,true
U-0009,Vu Dung,Da Nang,30,CUS-0009,CUS-0009,SALARY_PLUS,SMS,86000000.00,687,true,SKYJOY_RED,CXR,true,true,true,true
U-0010,Pham Dung,Hai Phong,53,CUS-0010,CUS-0010,AFFLUENT,SMS,32000000.00,659,true,SKYJOY_GOLD,PQC,true,true,true,true
U-0011,Phan Ngoc,Hai Phong,51,CUS-0011,CUS-0011,EMERGING_AFFLUENT,BRANCH,19000000.00,794,true,SKYJOY_GOLD,CXR,true,true,true,true
U-0012,Huynh Chi,Da Nang,49,CUS-0012,CUS-0012,SALARY_PLUS,APP,110000000.00,804,true,SKYJOY_RED,HAN,true,true,true,true
U-0013,Tran Lan,Nha Trang,54,CUS-0013,CUS-0013,SALARY_PLUS,APP,115000000.00,661,true,SKYJOY_GOLD,CXR,false,true,true,true
U-0014,Bui Linh,Can Tho,23,CUS-0014,CUS-0014,AFFLUENT,BRANCH,57000000.00,681,true,SKYJOY_GOLD,SGN,true,true,true,true
U-0015,Vu Binh,Hai Phong,30,CUS-0015,CUS-0015,SALARY_PLUS,SMS,88000000.00,662,true,SKYJOY_GOLD,PQC,false,true,true,true
U-0016,Dang Hanh,Nha Trang,41,CUS-0016,CUS-0016,YOUNG_FAMILY,BRANCH,101000000.00,715,true,SKYJOY_RED,SGN,true,true,true,true
U-0017,Tran Linh,Ho Chi Minh City,59,CUS-0017,CUS-0017,SALARY_PLUS,APP,18000000.00,638,true,SKYJOY_RED,SGN,false,true,true,true
U-0018,Huynh Binh,Hai Phong,37,CUS-0018,CUS-0018,EMERGING_AFFLUENT,SMS,45000000.00,758,true,SKYJOY_PLATINUM,CXR,true,true,true,true
U-0019,Pham Thao,Can Tho,34,CUS-0019,CUS-0019,AFFLUENT,APP,73000000.00,710,true,SKYJOY_RED,SGN,true,true,true,true
U-0020,Tran Bao,Can Tho,43,CUS-0020,CUS-0020,AFFLUENT,APP,42000000.00,757,true,SKYJOY_RED,DAD,true,true,true,true
U-0021,Tran Quang,Hai Phong,28,CUS-0021,CUS-0021,AFFLUENT,SMS,87000000.00,834,true,SKYJOY_RED,HAN,true,true,true,true
U-0022,Vu Thao,Ha Noi,47,CUS-0022,CUS-0022,AFFLUENT,APP,18000000.00,719,true,SKYJOY_GOLD,PQC,true,true,true,true
U-0023,Dang Thao,Ha Noi,34,CUS-0023,CUS-0023,EMERGING_AFFLUENT,APP,25000000.00,768,true,SKYJOY_RED,DAD,true,true,true,true
U-0024,Bui Thao,Hai Phong,55,CUS-0024,CUS-0024,SALARY_PLUS,APP,83000000.00,640,false,SKYJOY_RED,SGN,true,true,true,true
U-0025,Pham Ngoc,Ho Chi Minh City,58,CUS-0025,CUS-0025,SALARY_PLUS,APP,23000000.00,778,true,SKYJOY_GOLD,CXR,true,true,true,true
U-0026,Hoang Hanh,Nha Trang,42,CUS-0026,CUS-0026,SALARY_PLUS,APP,34000000.00,791,true,SKYJOY_RED,SGN,true,true,true,true
